# StartTime = 03/12/2026 03:17:53.1221 am
Time (sec), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
0.031,0,0,0,0,0,0,0,0,0,0,44.705883,0,0,0,0,0
0.175,3.1737927E-05,0,0,0.0007122953,0,6.2268677,0.3958314,0.0007122953,0,0,43.92157,0,0,0,62.6,29.234798
0.385,5.650593E-05,0,0,0.0012681645,0,5.9815483,0.38023683,0.0012681645,0,0,42.7451,0,0.008344362,0,62.6,29.234798
0.632,8.5214764E-05,0,0,0.0019124775,0,5.8605814,0.3725472,0.0019124775,0,0,44.313725,0,0.012413045,0,62.6,29.234798
0.871,0.00010853079,0,0,0.0024357599,0,5.7607937,0.36620387,0.0024357599,0,0,43.137257,0,0.016006647,0,62.6,29.234798
1.095,0.00013359293,0,0,0.0029982303,0,5.853617,0.3721045,0.0029982303,0,0,44.705883,0,0.02010771,0,62.6,29.234798
1.332,0.00015766147,0,0,0.0035384016,0,5.7244463,0.36389333,0.0035384016,0,0,41.960785,0,0.023763772,0,62.6,29.234798
1.561,0.00017856657,0,0,0.004007575,0,5.889106,0.37436047,0.004007575,0,0,43.92157,0,0.027715584,0,62.6,29.234798
1.800,0.00020174298,0,0,0.0045277243,0,5.496871,0.34942675,0.0045277243,0,0,41.17647,0,0.031652305,0,62.6,29.234798
2.022,0.00022660923,0,0,0.005085798,0,5.8445544,0.3715284,0.005085798,0,0,43.137257,0,0.035785455,0,62.6,29.234798
2.262,0.00024871697,0,0,0.005581963,0,5.409151,0.34385055,0.005581963,0,0,42.35294,0,0.039200306,0,62.6,29.234798
2.485,0.00027267783,0,0,0.006119717,0,5.66673,0.3602244,0.006119717,0,0,42.35294,0,0.043180518,0,62.6,29.234798
2.709,0.00029445274,0,0,0.006608412,0,5.594608,0.3556397,0.006608412,0,0,43.52941,0,0.046934202,0,62.6,29.234798
2.951,0.0003159865,0,0,0.0070916945,0,5.5636983,0.35367486,0.0070916945,0,0,43.92157,0,0.050527345,0,62.6,29.234798
3.182,0.00033865942,0,0,0.007600544,0,5.691772,0.3618163,0.007600544,0,0,41.568626,0,0.054997828,0,62.6,29.234798
3.426,0.00036435743,0,0,0.008177285,0,5.694968,0.36201945,0.008177285,0,0,41.17647,0,0.059000004,0,62.6,29.234798
3.648,0.00038766928,0,0,0.008700474,0,5.4454985,0.34616107,0.008700474,0,0,43.137257,0,0.06261826,0,62.6,29.234798
3.871,0.00040844767,0,0,0.009166804,0,5.3690834,0.3413035,0.009166804,0,0,41.568626,0,0.06621262,0,62.6,29.234798
4.093,0.00043106542,0,0,0.009674415,0,5.609013,0.35655543,0.009674415,0,0,44.313725,0,0.069814235,0,62.6,29.234798
4.309,0.00045084674,0,0,0.010118368,0,5.405049,0.34358978,0.010118368,0,0,40.784313,0,0.07360658,0,62.6,29.234798
4.511,0.00047265206,0,0,0.0106077455,0,5.7781563,0.36730757,0.0106077455,0,0,40.39216,0,0.07722213,0,62.6,29.234798
4.754,0.00049310556,0,0,0.011066784,0,5.3328314,0.33899903,0.011066784,0,0,42.7451,0,0.08032915,0,62.6,29.234798
4.964,0.0005123585,0,0,0.011498878,0,5.2520757,0.33386555,0.011498878,0,0,43.137257,0,0.0847964,0,62.6,29.234798
5.206,0.00053896673,0,0,0.012096047,0,5.5268264,0.35133097,0.012096047,0,0,41.17647,0,0.088582344,0,62.6,29.234798
5.418,0.00055972,0,0,0.012561813,0,5.5775313,0.35455418,0.012561813,0,0,41.17647,0,0.09203567,0,62.6,29.234798
5.642,0.00057893916,0,0,0.012993149,0,5.3390326,0.33939323,0.012993149,0,0,40.784313,0,0.095385306,0,62.6,29.234798
5.861,0.0005980229,0,0,0.013421446,0,5.3390326,0.33939323,0.013421446,0,0,41.17647,0,0.09949936,0,62.6,29.234798
6.131,0.00062145566,0,0,0.013947349,0,5.2881846,0.3361609,0.013947349,0,0,41.568626,0,0.103443265,0,62.6,29.234798
