# StartTime = 03/12/2026 02:18:47.5640 pm
Time (sec), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Vehicle speed (MPH), Instant Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Latitude (deg), Longitude (deg)
0.000,34.901962,66.2,29.234798,0,0,0,0.28034434,0,0.04119762,0,4.4759156E-05,0,0.010607432,0,0.0010045312,-37.802486,145.0395
1.025,36.07843,66.2,29.234798,0,0,0,0.27418292,0,0.042810574,0,0.00011662804,0,0.025495386,0,0.0026174868,-37.802483,145.0395
2.027,33.72549,66.2,29.234798,0,0,0,0.27951655,0,0.044715527,0,0.00020150759,0,0.044241026,0,0.004522441,-37.802483,145.0395
3.011,34.509804,66.2,29.234798,0,0,0,0.2764449,0,0.046259787,0,0.00027031548,0,0.059783183,0,0.006066699,-37.802486,145.0395
4.018,34.901962,66.2,29.234798,0,0,0,0.27896467,0,0.048154455,0,0.0003547366,0,0.077179916,0,0.007961365,-37.80249,145.0395
5.022,34.901962,68,29.234798,0,0,0,0.28203022,0,0.049767625,0,0.0004266151,0,0.09287046,0,0.009574536,-37.80249,145.0395
6.021,34.901962,68,29.234798,0,0,0,0.27896467,0,0.051727954,0,0.00051396206,0,0.11202859,0,0.011534867,-37.802494,145.0395
7.021,36.07843,68,29.234798,0,0,0,0.28203022,0,0.053386874,0,0.00058787904,0,0.12865439,0,0.013193788,-37.802494,145.0395
8.023,35.294117,68,29.234798,0,0,0,0.2733733,0,0.05497555,0,0.000658666,0,0.1435126,0,0.014782462,-37.80249,145.0395
9.026,34.509804,68,29.234798,0,0,0,0.2728336,0,0.05647006,0,0.0007252572,0,0.15794979,0,0.01627697,-37.80249,145.0395
10.019,34.901962,68,29.234798,0,0,0,0.2764449,0,0.05830148,0,0.00080686033,0,0.17597665,0,0.018108392,-37.80249,145.0395
11.016,35.294117,68,29.234798,0,0,0,0.27813688,0,0.059925973,0,0.00087924337,0,0.19184922,0,0.019732887,-37.80249,145.0395
12.005,34.901962,68,29.234798,0,0,0,0.27896467,0,0.061796714,0,0.0009625983,0,0.2104156,0,0.021603625,-37.802494,145.0395
13.023,35.294117,68,29.234798,0,0,0,0.27589914,0,0.063443325,0,0.0010359668,0,0.22592686,0,0.023250235,-37.802494,145.0395
14.013,34.117645,68,29.234798,0,0,0,0.2649408,0,0.06501453,0,0.0011059757,0,0.24282265,0,0.024821447,-37.802498,145.0395
15.006,34.117645,68,29.234798,0,0,0,0.27418292,0,0.0667901,0,0.0011850897,0,0.25916672,0,0.026597006,-37.802483,145.0395
16.054,34.509804,68,29.234798,0,0,0,0.2780823,0,0.06865406,0,0.0012681428,0,0.27752727,0,0.02846097,-37.802483,145.0395
16.998,33.333332,68,29.234798,0,0,0,0.2665054,0,0.07016573,0,0.0013354988,0,0.29242823,0,0.029972643,-37.802486,145.0395
18.023,33.72549,68,29.234798,0,0,0,0.2680215,0,0.07174014,0,0.0014056505,0,0.30859563,0,0.03154706,-37.802486,145.0395
19.003,34.509804,69.8,29.234798,0,0,0,0.2564537,0,0.073421314,0,0.0014805588,0,0.3254662,0,0.03322823,-37.802486,145.0395
20.021,34.509804,69.8,29.234798,0,0,0,0.2680215,0,0.07530213,0,0.0015643629,0,0.34450188,0,0.035109047,-37.802486,145.0395
21.024,34.117645,69.8,29.234798,0,0,0,0.26572308,0,0.07689544,0,0.0016353563,0,0.3599367,0,0.036702354,-37.802486,145.0395
22.013,34.117645,69.8,29.234798,0,0,0,0.2672301,0,0.078379415,0,0.0017014781,0,0.37496576,0,0.03818633,-37.802486,145.0395
23.024,33.333332,69.8,29.234798,0,0,0,0.2672301,0,0.08024514,0,0.0017846095,0,0.39371395,0,0.04005205,-37.80249,145.0395
24.016,33.72549,69.8,29.234798,0,0,0,0.2733733,0,0.081957236,0,0.001860896,0,0.41079777,0,0.041764148,-37.80249,145.0395
25.008,34.117645,69.8,29.234798,0,0,0,0.2672301,0,0.083628185,0,0.0019353488,0,0.42796308,0,0.043435093,-37.802494,145.0395
26.024,34.509804,69.8,29.234798,0,0,0,0.2603076,0,0.08518326,0,0.002004639,0,0.44346824,0,0.04499018,-37.802494,145.0395
27.026,34.509804,69.8,29.234798,0,0,0,0.2649408,0,0.08675649,0,0.0020747376,0,0.4596351,0,0.0465634,-37.802483,145.0395
28.014,33.333332,69.8,29.234798,0,0,0,0.2641585,0,0.08821438,0,0.0021396975,0,0.47385803,0,0.048021298,-37.80248,145.0395
29.014,32.156864,69.8,29.234798,0,0,0,0.2672301,0,0.09028029,0,0.0022317483,0,0.4946864,0,0.050087195,-37.80248,145.0395
30.016,32.54902,69.8,29.234798,0,0,0,0.2672301,0,0.091710776,0,0.002295487,0,0.50913817,0,0.05151769,-37.80248,145.0395
31.010,34.117645,69.8,29.234798,0,0,0,0.26976803,0,0.0935502,0,0.0023774465,0,0.5279398,0,0.05335711,-37.80248,145.0395
32.040,34.509804,69.8,29.234798,0,0,0,0.2703017,0,0.09509309,0,0.0024461937,0,0.543878,0,0.0549,-37.80248,145.0395
33.033,34.117645,71.6,29.234798,0,0,0,0.2728336,0,0.09669576,0,0.0025176043,0,0.56039685,0,0.056502674,-37.80248,145.0395
33.999,32.156864,71.6,29.234798,0,0,0,0.2733733,0,0.09833571,0,0.0025906758,0,0.57597345,0,0.05814262,-37.80247,145.0395
35.019,33.72549,71.6,29.234798,0,0,0,0.2649408,0,0.100215964,0,0.0026744548,0,0.5953209,0,0.060022872,-37.80247,145.0395
36.032,34.509804,71.6,29.234798,0,0,0,0.25750586,0,0.10169702,0,0.0027404467,0,0.6108142,0,0.061503932,-37.80247,145.0395
37.016,33.333332,71.6,29.5301,0,0,0,0.27418292,0,0.10319066,0,0.0028069993,0,0.62599164,0,0.06299757,-37.80247,145.0395
38.020,33.333332,71.6,29.234798,0,0,0,0.2605714,0,0.10476663,0,0.0028772203,0,0.6418514,0,0.06457355,-37.80247,145.0395
39.024,31.764706,71.6,29.234798,0,0,0,0.2749925,0,0.10669948,0,0.0029633427,0,0.66182137,0,0.06650639,-37.80247,145.0395
40.020,33.72549,71.6,29.234798,0,0,0,0.2626333,0,0.10820662,0,0.0030304969,0,0.6767787,0,0.068013534,-37.80247,145.0395
41.020,32.941177,71.6,29.234798,0,0,0,0.25877938,0,0.10966653,0,0.003095546,0,0.69177735,0,0.06947344,-37.802475,145.0395
42.028,32.54902,71.6,29.234798,0,0,0,0.25750586,0,0.11147629,0,0.0031761841,0,0.711182,0,0.07128321,-37.802467,145.0395
43.036,32.156864,71.6,29.234798,0,0,0,0.25174773,0,0.113059014,0,0.003246706,0,0.72730184,0,0.072865926,-37.802467,145.0395
44.018,32.54902,71.6,29.234798,0,0,0,0.25750586,0,0.11455855,0,0.0033135212,0,0.74284,0,0.07436546,-37.802467,145.0395
45.014,33.72549,71.6,29.234798,0,0,0,0.26186007,0,0.11638921,0,0.00339509,0,0.76160353,0,0.07619612,-37.802467,145.0395
46.020,32.156864,71.6,29.5301,0,0,0,0.26186007,0,0.11792336,0,0.0034634478,0,0.7777917,0,0.07773027,-37.80247,145.0395
47.025,33.333332,73.4,29.234798,0,0,0,0.25261796,0,0.1195982,0,0.0035380744,0,0.7953237,0,0.079405114,-37.80247,145.0395
48.041,32.54902,73.4,29.234798,0,0,0,0.25796372,0,0.121095635,0,0.003604796,0,0.8099922,0,0.08090255,-37.802475,145.0395
49.022,32.156864,73.4,29.5301,0,0,0,0.26572308,0,0.122579455,0,0.0036709108,0,0.8252924,0,0.08238637,-37.802467,145.0395
50.016,34.509804,73.4,29.234798,0,0,0,0.2536853,0,0.124319285,0,0.0037484327,0,0.84372187,0,0.0841262,-37.802464,145.0395
51.018,32.156864,73.4,29.234798,0,0,0,0.25877938,0,0.12572595,0,0.0038111103,0,0.85823554,0,0.08553287,-37.802467,145.0395
52.016,30.980392,73.4,29.234798,0,0,0,0.25336388,0,0.12763207,0,0.0038960413,0,0.87864465,0,0.08743898,-37.802467,145.0395
53.027,33.72549,73.4,29.234798,0,0,0,0.25187203,0,0.12901866,0,0.003957825,0,0.89349353,0,0.08882558,-37.802467,145.0395
54.032,32.54902,73.4,29.234798,0,0,0,0.25750586,0,0.13063845,0,0.0040299976,0,0.91086143,0,0.09044537,-37.802467,145.0395
55.032,33.333332,73.4,29.234798,0,0,0,0.25674173,0,0.1321944,0,0.004099326,0,0.9263727,0,0.092001304,-37.802467,145.0395
56.021,33.333332,73.4,29.234798,0,0,0,0.2605714,0,0.13368385,0,0.004165692,0,0.94212455,0,0.09349076,-37.80245,145.0395
57.008,32.941177,73.4,29.234798,0,0,0,0.24953726,0,0.13554192,0,0.0042484826,0,0.96159667,0,0.09534883,-37.802444,145.03949
58.052,32.54902,73.4,29.234798,0,0,0,0.2541098,0,0.13693723,0,0.004310654,0,0.9762287,0,0.09674414,-37.80244,145.03949
61.093,33.333332,73.4,29.234798,0,0,0,0.25137475,0,0.14126012,0,0.0045032697,0,1.022436,0,0.10106703,-37.802486,145.03952
62.004,30.980392,73.4,29.234798,0,0,0,0.25137475,0,0.14316386,0,0.0045880955,0,1.0430537,0,0.10297077,-37.802486,145.03952
63.021,31.764706,73.4,29.234798,0,0,0,0.25877938,0,0.14443348,0,0.0046446663,0,1.0565021,0,0.104240395,-37.802486,145.03952
63.998,32.156864,73.4,29.234798,0,0,0,0.2544403,0,0.14634615,0,0.00472989,0,1.0774591,0,0.10615307,-37.802486,145.03952
65.023,32.941177,73.4,29.234798,0,0,0,0.25187203,0,0.14755563,0,0.0047837812,0,1.0905113,0,0.10736255,-37.802486,145.03952
66.014,32.156864,73.4,29.5301,0,0,0,0.23791486,0,0.14951304,0,0.0048709973,0,1.1093516,0,0.10931995,-37.802486,145.03952
67.013,32.54902,73.4,29.234798,0,0,0,0.25187203,0,0.15117624,0,0.0049451054,0,1.1269605,0,0.110983156,-37.802486,145.03952
68.019,31.764706,75.2,29.5301,0,0,0,0.25261796,0,0.1525912,0,0.005008152,0,1.1429601,0,0.11239812,-37.802486,145.03952
69.020,30.980392,75.2,29.234798,0,0,0,0.24524367,0,0.15431513,0,0.0050849654,0,1.1611658,0,0.11412203,-37.802486,145.03952
70.022,30.980392,75.2,29.234798,0,0,0,0.2544403,0,0.15571202,0,0.005147207,0,1.1760058,0,0.115518935,-37.802486,145.03952
71.100,32.54902,75.2,29.234798,0,0,0,0.24830921,0,0.1575097,0,0.005227307,0,1.1951667,0,0.11731661,-37.802483,145.03952
72.025,31.764706,75.2,29.234798,0,0,0,0.24029513,0,0.15884961,0,0.0052870098,0,1.2098174,0,0.11865652,-37.802483,145.03952
73.020,31.37255,75.2,29.234798,0,0,0,0.2605714,0,0.1605041,0,0.005360729,0,1.2276164,0,0.120311014,-37.802483,145.03952
74.003,32.54902,75.2,29.234798,0,0,0,0.2417142,0,0.16184182,0,0.0054203346,0,1.242485,0,0.12164874,-37.802483,145.03952
75.012,32.941177,75.2,29.5301,0,0,0,0.24953726,0,0.16336872,0,0.005488368,0,1.2587817,0,0.12317563,-37.802483,145.03952
76.023,32.941177,75.2,29.234798,0,0,0,0.25137475,0,0.1649506,0,0.005558853,0,1.2752632,0,0.12475751,-37.802483,145.03952
77.048,30.980392,75.2,29.5301,0,0,0,0.25569868,0,0.1668487,0,0.0056434274,0,1.2955922,0,0.12665562,-37.802483,145.03952
78.020,31.37255,75.2,29.234798,0,0,0,0.26108688,0,0.16812329,0,0.0057002194,0,1.3084539,0,0.12793021,-37.802483,145.03952
79.020,31.37255,75.2,29.234798,0,0,0,0.24572882,0,0.1695618,0,0.0057643154,0,1.3243021,0,0.12936872,-37.802483,145.03952
80.022,31.37255,75.2,29.234798,0,0,0,0.24524367,0,0.1714967,0,0.0058505298,0,1.3454154,0,0.13130362,-37.802483,145.03952
